SMILES,value
O=C(NC1CCCCC1)c1csc(-c2ccccc2)n1,4.82391
O=[N+]([O-])c1ccc(/C=N\NC(=S)N(Cc2ccccc2)Cc2ccccc2)cc1,6.00877
CN1CCc2c(sc(NC(=O)c3ccc([N+](=O)[O-])o3)c2C(N)=O)C1,4.6957
COc1ccc(Cl)cc1NC(=O)C(C)N1CCN(C/C=C/c2ccccc2)CC1,4.90897
O=C(Nc1nc(-c2ccccn2)co1)c1ccccc1,4.60206
O=c1cc(Cn2cc(COc3ccc(Cl)cc3)nn2)c2c(ccc3ccccc32)o1,3.92204
COc1ccc(CNC(=O)N2CCN(CCn3c(=O)ccc4ncc(OC)cc43)CC2)cc1,4.55783
CCCn1c(=O)c(C(=O)Nc2cc(C)ccn2)c(O)c2ccccc21,4.73414
CCCc1nc2c(Br)c3ccccc3c(Br)c2nc1C,5.6517
CCOC(=O)c1sc(NC(=O)c2ccc(OC)cc2)nc1-c1ccc(OCc2c(Cl)cccc2Cl)cc1,5.11919
C=CCOC(=O)COc1ccc2cc(-c3ccccc3)c(=O)oc2c1,6.42827
COc1ccc(CCNc2nc(-c3ccccn3)cs2)cc1OC,5.60747
C=CCN(CC=C)C(=S)N/N=C\c1ccccc1[N+](=O)[O-],5.39107
Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,5.79371
COc1ccc(-c2cccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)c2)cc1F,6.11344
Cc1nc2ccc(Cl)cc2c(=O)n1CC(=O)Nc1ccccc1,5.24702
O=C(Cn1cc(-c2ccc(C(F)(F)F)cc2)nn1)NC12CC3CC(CC(C3)C1)C2,3.90787
Cn1cc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cn1,3.73935
CCOC(=O)c1ccc(NC(=S)Nc2ccc(Oc3ccccc3)cc2)cc1,5.66235
O=C(CO[C@@H]1COc2nc([N+](=O)[O-])cn2C1)Nc1ccc(OC(F)(F)F)cc1,5.61187
COc1ccccc1N1CCN(CC(O)COC(c2ccccc2)c2cccc3ccccc23)CC1,1.88739
C=C[C@]1(C)C[C@@H](OC(=O)CN(CC)Cc2ccc(N(CC)CC)cc2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,5.14267
CC(=O)c1ccc(C(=O)Nc2nnc(-c3ccc4c(c3)CCCC4)o2)cc1,6.70997
CCNc1cc(-c2nc(-c3ccc(Cl)cc3)cs2)ccn1,4.59635
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,4.01547
COc1cccc2cc(C(=O)Nc3sc4c(c3C(N)=O)CCCCC4)c(=O)oc12,4.01876
O=C(Nc1ccc(Cl)c(Cl)c1)NC1CC(=O)N(c2cccc(F)c2)C1,4.81664
Cc1ccc2c(c1)C1(C(=O)N2)N(C)CCC12CCCCC2=O,4.37789
COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1cccc(Br)c1,5.60619
CC1CC1c1ccc(CN2CCc3nc(Nc4ccccc4)sc3CC2)o1,5.25181
CC1=C(O)C(C)(Cc2ccccc2C)SC1=O,3.0
CC(C)[C@H](O)C(=O)NC1CC2CCC1(C)C2(C)C,5.10292
