SMILES,value
Cn1ncc(C(=O)N2C3CCC2CC(Nc2cc(-c4ccccc4)[nH]c(=O)c2)C3)c1Cl,6.09691
Cn1ncc(C(=O)N2C3CCC2CC(Nc2cc(=O)[nH]c4cc(F)c(F)cc24)C3)c1Cl,7.22185
Cc1onc(C(=O)N2C3CCC2CC(Nc2cc(=O)[nH]c4cc(F)c(F)cc24)C3)c1C,7.22185
Cn1ncc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4ccc(F)cc24)C3)c1Cl,6.60206
Cn1ncc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4cc(F)c(F)cc24)C3)c1Cl,6.92082
Cc1onc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4cc(F)c(F)cc24)C3)c1C,6.92082
Cn1ncc(C(=O)N2C3CCC2CC(Nc2n[nH]c4ccc(F)cc24)C3)c1Cl,5.20412
Cn1ncc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4ncccc24)C3)c1Cl,6.60206
Cc1onc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4nccnc24)C3)c1C,5.20761
O=[N+]([O-])c1cn2c(n1)OC[C@@H](O)C2,4.39794
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)C[C@H]1F,6.1079
CC(=O)N(C)[C@H](C(=O)N1C[C@H](C)CC1C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)NCC(=O)O[C@@H]1C)C(C)C,6.26837
O=c1[nH]c(-c2c[nH]c3ccc(I)cc23)nc2ccccc12,5.284
NC1CONC1=O,4.38175
Cn1ncc(C(=O)N2CCC(Nc3cc(=O)[nH]c4cc(F)c(F)cc34)CC2)c1Cl,6.12914
COc1cc(C=O)cc(OC)c1O,3.86246
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc([N+](=O)[O-])ccc1O,4.79588
c1ccc(-c2cncnc2)cc1,4.09675
c1ccc(-c2ccccn2)nc1,3.79561
Nc1ccc(-n2ccnc2)cc1,4.38726
Cc1nnc(-c2ccncc2)o1,4.45426
Oc1nc(-c2cnccn2)no1,3.09691
O=C(O)/C=C/c1cccc(O)c1,3.43652
O=C(O)/C=C/c1ccc(O)cc1,3.61261
O=C(O)/C=C/c1ccccc1O,3.91364
CCC1=C(O)C(=O)C=C(O)C1=O,3.4059
COc1cc(C(=O)O)ccc1O,3.5247
O=Cc1ccc(O)c2ncccc12,6.42251
CC[C@H](CO)NC(=O)C(C)(C)C,4.5397
CCCCCCCCNCCO,3.23857
O=C1C=CC(=O)c2c(O)cccc21,4.49996
Fc1ccccc1-c1cncnc1,4.14412
Fc1cccc(-c2cncnc2)c1,4.44515
Fc1ccc(-c2cncnc2)cc1,4.14412
Nc1n[n+]([O-])c2ccccc2[n+]1[O-],4.53502
COC(=O)/C=C/c1ccc(O)cc1,3.64975
COC(=O)/C=C/c1cccc(O)c1,3.64975
COC(=O)/C=C/c1ccccc1O,3.95078
CCCCC(=O)c1ccc(O)cc1,4.81859
CC(C)OC(=O)c1ccc(N)cc1,4.52177
O=C1CC(Sc2ccccc2)N1,3.85549
O=c1oc(-c2ccncc2)ns1,4.30103
O=c1oc(-c2cccnc2)ns1,4.60206
Sc1nc(-c2cnccn2)no1,2.79588
c1cnc2c(c1)ccc1cccnc12,5.35105
CC[C@H](CO)NCc1ccncc1,4.55689
O=c1oc(-c2cnccn2)ns1,4.43735
Nc1ccc2c(c1)Cc1ccccc1-2,4.73857
O=C(NO)c1ccc([N+](=O)[O-])cc1,5.45522
CC[C@H](CO)N1C(=O)C=C(C)C1=O,4.564
N#CCc1cc(-c2ccccc2)[nH]n1,4.0
NC(c1ccccc1)c1ccccc1,2.86646
NC1CCCCCCCCCCC1,3.16749
Cc1ccnc(-c2cc(C)ccn2)c1,3.86742
Nc1ccccc1Nc1ccccc1,6.70997
CC(C)O[C@@H]1C=CC(=O)[C@@H](CO)O1,3.87205
Oc1ccccc1/N=C/c1ccc[nH]1,5.51784
Cc1ccc2c(c1O)C(=O)C=CC2=O,4.49997
Cc1cc(O)c2c(c1)C(=O)C=CC2=O,4.49996
CC1=CC(=O)c2c(O)cccc2C1=O,3.65875
COCc1ccc(O)c2ncccc12,4.96138
O=[N+]([O-])c1cc(O)c2ncccc2c1,5.56703
CCC(=O)c1coc2ccc(O)cc12,4.95613
CC1CCN(c2ccc(N)cc2)CC1,4.49472
CCc1n[n+]([O-])c2ccccc2[n+]1[O-],5.00397
CC(=O)/C=C(\C)Nc1ccccc1O,6.00349
CC[C@H](CO)N1Cc2ccccc2C1,4.98047
Fc1cc(F)cc(-c2cncnc2)c1,5.4389
Fc1ccc(-c2cncnc2)c(F)c1,4.79237
O=C(O)/C=C/c1ccc2c(c1)OCO2,3.50585
CC(C)c1ccc2nc(N)sc2c1,4.36316
O=C(O)CNc1ncnc2[nH]cnc12,4.49004
Cc1ccccc1-c1nsc(=O)o1,4.23245
CC1CCN(c2ccc(C=O)o2)CC1,4.25246
CCCCCCOc1cccc(N)c1,4.77147
Nc1[nH]ncc1-c1ccc(Cl)cc1,4.6647
O=C(CC[N+](=O)[O-])Nc1ccccc1,3.89032
Nc1ccc(-c2nsc(=O)o2)cc1,4.08415
Nc1nc(-c2cccc(F)c2)cs1,4.94931
Nc1nc(-c2ccc(F)cc2)cs1,4.62333
COc1ccc2c(c1)sc(=N)n2C,5.05002
