SMILES,value
Cc1ccc(S(=O)(=O)NCCC(=O)Nc2ccc(C)c(Cl)c2)cc1C,4.7027
CCCOC(=O)c1ccc(NC(=O)C(=O)NCC2CCCO2)cc1,4.41202
CCCCCCC/C=N/Nc1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,5.20412
Cc1oc2c(c1C(=O)NCc1cccnc1)C(=O)c1ccccc1C2=O,5.01836
O=c1c2c(-c3ccc(Cl)cc3)csc2nc2c3ccccc3c(NCCN3CCOCC3)nn12,4.5453
CCOC(=O)c1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)c(C)nc1C,4.53545
COc1ccc(NCC(=O)Nc2ccc(C#N)cc2)cc1Cl,5.08202
CCCn1cc(C(=O)O)c(=O)c2ccc(N3CCNC(C)C3)cc21,5.22192
Cc1ccc(C(=O)NNC(=O)c2c(C)nc3ccccn23)cc1,4.09205
CC(=O)Oc1c(C(=O)c2ccccc2)sc2ccccc12,5.57142
O=[N+]([O-])c1cn(CC(O)c2ccc(Cl)cc2Cl)c(Br)n1,5.27991
O=C(c1ccncc1)N(/N=C/c1c[nH]nc1-c1cccc(Cl)c1)C(=O)c1ccc(F)cc1,5.4437
COc1ccc(-c2noc(CCC(=O)Nc3ccc4c(c3)OCCO4)n2)cc1,4.51292
O=C(NNC(=O)c1ccc(Cl)cc1)c1ccncc1,7.64397
NNC(=O)c1cc(CC2CC3CCC2C3)c2ccccc2n1,4.6745
C=CS(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],4.70553
C/C(=N\n1c(/N=C/c2ccc(Cl)cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,5.49607
Cc1cc(N2CCOCC2)n2nc(C(F)(F)F)c(-c3ccc(Cl)cc3)c2n1,4.0
O=S(=O)(Nc1ccc(Nc2c3ccccc3nc3ccc(Cl)cc23)cc1)c1ccc(Cl)cc1,4.60067
CCC(CC)=NNc1ncnc2sc3c(c12)CCCC3,3.79534
Cc1ccc(/C=C2\CN(C)CC3=C2N=C(S)NC3c2ccc(C)cc2)cc1,4.17653
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(Cl)c3)cc1)C2,6.78432
Cc1cc(N)c2cc(NC(=O)/C=C/c3ccccc3Cl)ccc2n1,5.77443
Cc1cc(C)c(OCCCCn2ccnc2)c(C)c1,5.26785
Cc1cc(Oc2nc([N+](=O)[O-])nn2C)ccc1Cl,4.62281
O=C(O)c1cn(C2CCC2)c2cc(N3CCNCC3)ccc2c1=O,5.23725
